id,wordEn,pos,cefrLevel,fromOxford,rank,frequency,difficultyScore,phoneticUs,phoneticUk,phoneticAr,translit,syllabify,definitionEn,definitionAr,usageNote,category,primarySense,semanticTags,register,mnemonicAr,examples,collocations,synonyms,antonyms,relatedWords,wordFamily,arabicAr,frenchFr,germanDe,spanishEs,chineseZh,russianRu,portuguesePt,japaneseJa,italianIt,turkishTr,unitId,stratum,in_ielts
6067,trousers,noun,A1,1,6067,5,5,ˈtraʊzərz,ˈtraʊzəz,تراوزَرز,Banṭalōn,,An outer garment covering the body from the waist to the ankles.,البنطلون. كلمة بريطانية، في أمريكا بيقولوا Pants.,"Plural noun (like glasses). Say 'My trousers ARE dirty', not 'is'. Pair of trousers.",Objects & Tools,Object,"[""#Clothes"", ""#Fashion"", ""#Wear""]",Neutral,قريبة من 'Throw' 'يرمي'.. لما بترجع تعبان بتعمل 'Throw' للـ 'Trousers' على الكرسي,"{""A1"": ""I wear black trousers."", ""A2"": ""These trousers are too long."", ""B1"": ""He bought a new pair of trousers."", ""B2"": ""You should iron your trousers before the interview."", ""C1"": ""The tailor hemmed the trousers perfectly."", ""C2"": ""Sartorial elegance dictates that trousers should break slightly at the shoe.""}","[""pair of trousers"", ""short trousers"", ""wear trousers""]","[""pants"", ""slacks"", ""jeans""]","[""shorts"", ""skirt""]","{""en"": [""pants"", ""belt"", ""pocket""], ""ar"": [""ملابس"", ""بنطال""]}","{""noun"":""trousers"",""adj"":""trousered""}",بنطلون,pantalon,Hose,pantalones,裤子 (Kùzi),брюки,calças,ズボン (Zubon),pantaloni,pantolon,A1_18,CEFR_A1,False
3538,feeding,noun,A1,1,3538,4,5,ˈfiːdɪŋ,,فِيدِينج,Taghdhiyah,feed•ing,The act of supplying with food; the act of eating.,عملية إعطاء الأكل، سواء للأطفال أو الحيوانات.,Commonly used for infants or animals (feeding time).,Actions & Processes,Action,"[""#Food"", ""#Care"", ""#Animals""]",Neutral,جاية من 'Food' طعام.. الـ 'Feeding' هو تقديم الـ 'Food'.,"{""A1"": ""The baby is feeding."", ""A2"": ""Feeding the dog is my job."", ""B1"": ""The birds are feeding on seeds."", ""B2"": ""Breast feeding is good for babies."", ""C1"": ""The feeding habits of lions are interesting."", ""C2"": ""The indiscriminate feeding of wildlife can disrupt the ecosystem.""}","[""breast feeding"", ""feeding time"", ""bottle feeding""]","[""eating"", ""nourishing"", ""dining""]","[""starving""]","{""en"": [""feed"", ""food"", ""eat"", ""hungry""], ""ar"": [""يطعم"", ""طعام"", ""يأكل"", ""جائع""]}","{""noun"":""feeding"",""verb"":""feed""}",تغذية,alimentation,Fütterung,alimentación,喂养 (Wèiyǎng),кормление,alimentação,給餌 (Kyūji),alimentazione,besleme,A1_17,CEFR_A1,False
474,thank,noun,A1,1,474,3,3,θæŋk,,ثَانْك,Shukr / Ḥamd,,An expression of gratitude.,كلمة شكر وامتنان، وعادة بتيجي جمع 'Thanks'.,Almost always used in the plural 'thanks' or in the phrase 'thank you'.,Social Life & Communication,Communication,"[""#Politeness"", ""#Gratitude"", ""#Social""]",Neutral,كلمة 'Thank' يعني شكر.. زي ما بتقول 'Thank you'.,"{""A1"": ""Many thanks for your help."", ""A2"": ""Give thanks to God."", ""B1"": ""We owe them a vote of thanks."", ""B2"": ""He expressed his thanks in a letter."", ""C1"": ""The event was a success, thanks to your hard work."", ""C2"": ""They offered a prayer of thanksgiving.""}","[""give thanks"", ""vote of thanks"", ""many thanks""]","[""gratitude"", ""appreciation"", ""acknowledgment""]","[""ingratitude""]","{""en"": [""thankful"", ""thankless"", ""thanksgiving""], ""ar"": [""ممتن"", ""ناكر للجميل"", ""عيد الشكر""]}","{""noun"": ""thanks"", ""verb"": ""thank"", ""adj"": ""thankful"", ""adv"": ""thankfully""}",شكر / حمد,remerciement,Dank,agradecimiento,感谢 (Gǎnxiè),благодарность,agradecimento,感謝 (Kansha),ringraziamento,teşekkür,A1_05,CEFR_A1,False
3172,coat,noun,A1,1,3172,4,5,koʊt,kəʊt,كَوْت,Miʿṭaf / Jākēt,,"An outer piece of clothing with sleeves, worn over other clothes for warmth.",الجاكيت الطويل أو التقيل اللي بنلبسه فوق الهدوم عشان يدفينا في البرد.,"Can also refer to a layer of paint (e.g., 'a coat of paint') or an animal's fur.",Objects & Tools,Object,"[""#Clothing"", ""#Winter"", ""#Fashion"", ""#Outerwear""]",Neutral,لما الجو يكون 'Cold' 'برد' لازم تلبس 'Coat' 'معطف' يدّفيك.,"{""A1"": ""I put on my warm coat."", ""A2"": ""She bought a red winter coat."", ""B1"": ""Please hang your coat near the door."", ""B2"": ""The dog has a thick shiny coat of fur."", ""C1"": ""The wall needs another coat of paint."", ""C2"": ""The virus is protected by a protein coat.""}","[""winter coat"", ""put on a coat"", ""coat of paint"", ""fur coat""]","[""jacket"", ""overcoat"", ""layer"", ""covering""]",[],"{""en"": [""jacket"", ""clothing"", ""layer"", ""fur""], ""ar"": [""سترة"", ""ملابس"", ""طبقة"", ""فراء""]}","{""noun"":""coat"",""verb"":""coat"",""adj"":""coated""}",مِعْطَف / جاكيت,manteau,Mantel,abrigo,外套 (Wàitào),пальто,casaco,コート (Kōto),cappotto,palto,A1_16,CEFR_A1,False
180,every,det,A1,1,180,3,4,ˈɛvəri,ˈevrɪ,إِفْرِي,Kull,ev•ery,All possible or probable; the utmost.,كل الاحتمالات الممكنة، أو أقصى حد.,Functions as a determiner before singular nouns.,General / Common,Quantity,"[""#Determiner"", ""#All"", ""#Grammar""]",Neutral,,"{""A1"": ""Brush your teeth every night."", ""A2"": ""Every house on the street is white."", ""B1"": ""I have every right to be angry."", ""B2"": ""There is every chance of success."", ""C1"": ""He hung on her every word."", ""C2"": ""We wish you every happiness.""}","[""every right"", ""every chance"", ""every success""]","[""maximum"", ""complete""]",[],"{""en"": [""each"", ""all""], ""ar"": [""كل"", ""جميع""]}",,كُلّ,tout,jeder,todo,每 (Měi),всякий,todo,全ての (Subete no),ogni,her,A1_03,CEFR_A1,False
856,page,noun,A1,1,856,3,3,peɪdʒ,,بَيْج,Ṣafḥa,,"One side of a sheet of paper in a book, magazine, or newspaper.",الصفحة، وش الورقة اللي في الكتاب أو الجورنال اللي بتقرأ منه.,Can also refer to a web page on the internet.,Social Life & Communication,Object,"[""#Book"", ""#Reading"", ""#Paper"", ""#Web""]",Neutral,ورق الكتب القديمة لونه 'Beige' 'بيج'.. والورقة يعني 'Page'.,"{""A1"": ""Open your book to page ten."", ""A2"": ""I wrote a full page of notes."", ""B1"": ""The story starts on the front page."", ""B2"": ""Please check the web page for details."", ""C1"": ""This event marks a new page in history."", ""C2"": ""The scandal was splashed across the front page of every tabloid.""}","[""front page"", ""web page"", ""turn the page"", ""blank page""]","[""sheet"", ""leaf"", ""folio""]",[],"{""en"": [""book"", ""paper"", ""chapter"", ""print""], ""ar"": [""كتاب"", ""ورق"", ""فصل"", ""طباعة""]}","{""noun"":""page"",""verb"":""page""}",صفحة,page,Seite,página,页 (Yè),страница,página,ページ (Pēji),pagina,sayfa,A1_09,CEFR_A1,False
133,why,adv,A1,1,133,3,3,waɪ,,واي,limadha,,For what reason or purpose.,بنستخدمها لما نسأل عن السبب أو الغرض. يعني 'ليه؟' أو 'عشان إيه؟'.,"Commonly used to ask questions, but can also express surprise (e.g., 'Why, it's you!').",Feelings & Emotions,Concept,"[""#Question"", ""#Reason"", ""#Logic""]",Neutral,كلمة 'Why' نطقها زي حرف 'Y'.. اسأل نفسك 'Why' 'ليه' حرف الـ 'Y' شكله كدة؟,"{""A1"": ""Why are you late?"", ""A2"": ""I don't know why she is crying."", ""B1"": ""That is the reason why we moved here."", ""B2"": ""Experts are trying to understand why the system failed."", ""C1"": ""Why he chose to resign remains a mystery."", ""C2"": ""One might well ask why such a policy was ever implemented.""}","[""why not"", ""that is why"", ""reason why"", ""wonder why""]","[""how come"", ""for what reason""]",[],"{""en"": [""reason"", ""cause"", ""question""], ""ar"": [""سبب"", ""سؤال"", ""استفهام""]}",,لماذا,pourquoi,warum,por qué,为什么 (Wèishéme),почему,por que,なぜ (Naze),perché,neden,A1_02,CEFR_A1,False
923,born,verb,A1,1,923,3,4,ˈbɔːrn,bɔːn,بُورْن,Wulida,,Past participle of bear; to come into the world.,هو التصريف التالت للفعل Bear، ومعناه ييجي للدنيا أو يتولد.,"Technically the past participle of 'bear', but functions almost exclusively as an adjective in this context.",General / Common,Process,"[""#Life"", ""#Birth""]",Neutral,زي ما قلنا، 'Born' يعني مولود، افتكرها بـ 'Baby'.. الاتنين بحرف الـ B.,"{""A1"": ""The baby was born yesterday."", ""A2"": ""Animals are born in the wild."", ""B1"": ""He was born to be a musician."", ""B2"": ""The company was born during the tech boom."", ""C1"": ""Hope is born from despair."", ""C2"": ""Resistance was born of oppression.""}","[""born and raised"", ""born with"", ""born of""]","[""create"", ""originate""]","[""die""]","{""en"": [""bear"", ""birth"", ""origin""], ""ar"": [""يلد"", ""ميلاد"", ""أصل""]}","{""noun"":""birth"",""verb"":""bear"",""adj"":""born""}",وُلِدّ,né,geboren,nacido,出生 (Chūshēng),родился,nascido,生まれた (Umareta),nato,doğmak,A1_09,CEFR_A1,False
5508,tomato,noun,A1,1,5508,5,5,təˈmeɪtoʊ,təˈmɑːtəʊ,تُمَيتو,Ṭamāṭim,toma•to,A glossy red fruit eaten as a vegetable in salads or cooked.,الطماطم الحمراء اللي بنحطها في السلطة أو الطبيخ.,"Botanically a fruit, culinarily a vegetable. US says 'to-may-to', UK says 'to-mah-to'.",Food & Drink,Object,"[""#Food"", ""#Vegetable"", ""#Red""]",Neutral,نفس الاسم بالعربي 'طماطم'.. سهلة.,"{""A1"": ""I like tomato soup."", ""A2"": ""She put a tomato in the salad."", ""B1"": ""We grow tomatoes in our garden."", ""B2"": ""Sun-dried tomatoes have a strong flavor."", ""C1"": ""The recipe calls for a reduction of tomato puree."", ""C2"": ""Heirloom tomato varieties are prized for their unique taste.""}","[""tomato sauce"", ""cherry tomato"", ""rotten tomato""]","[""love apple (archaic)""]",[],"{""en"": [""ketchup"", ""salad"", ""vegetable""], ""ar"": [""كاتشب"", ""سلطة"", ""خضار""]}","{""noun"":""tomato""}",طماطم,tomate,Tomate,tomate,西红柿 (Xīhóngshì),помидор,tomate,トマト (Tomato),pomodoro,domates,A1_18,CEFR_A1,False
3061,telephone,noun,A1,1,3061,4,4,ˈteləfoʊn,ˈtelɪfəʊn,تِلِفون,Hatif,tele•phone,A system or device for transmitting voices over a distance.,التليفون أو الهاتف اللي بنتكلم فيه.,Often shortened to 'phone'.,Objects & Tools,Tool,"[""#Communication"", ""#Technology"", ""#Device""]",Neutral,معروفة جداً 'Telephone' تليفون.,"{""A1"": ""I have a telephone."", ""A2"": ""The telephone is ringing."", ""B1"": ""She spoke to him on the telephone."", ""B2"": ""Telephone lines were down after the storm."", ""C1"": ""The invention of the telephone revolutionized communication."", ""C2"": ""We conducted a telephone survey.""}","[""telephone number"", ""telephone call"", ""telephone directory""]","[""phone"", ""cellphone"", ""mobile""]",[],"{""en"": [""call"", ""ring"", ""dial""], ""ar"": [""اتصال"", ""يرن"", ""يتصل""]}","{""noun"": ""telephone"", ""verb"": ""telephone"", ""adj"": ""telephonic"", ""adv"": ""telephonically""}",هاتف,téléphone,Telefon,teléfono,电话 (Diànhuà),телефон,telefone,電話 (Denwa),telefono,telefon,A1_16,CEFR_A1,False
